UniProt IDs,Clusters,DPC_0h_1,DPC_0h_2,DPC_0h_3,DPC_0h_4,DPC_3h_1,DPC_3h_2,DPC_3h_3,DPC_3h_4,DPC_6h_1,DPC_6h_2,DPC_6h_3,DPC_6h_4,DPC_9h_1,DPC_9h_2,DPC_9h_3,DPC_9h_4,DPC_12h_1,DPC_12h_2,DPC_12h_3,DPC_12h_4,DPC_18h_1,DPC_18h_2,DPC_18h_3,DPC_18h_4,DPC_24h_1,DPC_24h_2,DPC_24h_3,DPC_24h_4,DPC_36h_1,DPC_36h_2,DPC_36h_3,DPC_36h_4
Q5SRE5,8,34617.08984,33750.46875,32992.73438,34156.60547,36170.75391,35861.43359,34215.01563,34464.75,32057.60547,33476.98438,32415.0625,32257.89063,32719.67578,33903.73438,35470.15234,35234.73047,31160.91602,34487.58203,35729.51563,36277.21484,27730.9082,29380.12109,30180.30078,32217.30664,28812.57813,26709.57227,26195.9668,29225.93164,24672.4375,24446.29492,23548.48633,19858.61523
Q5SSJ5,51,56840.04688,53045.94141,53325.61328,56832.51172,60012.57813,55492.67188,53368.15625,58007.4375,46889.28906,46887.78516,48410.85547,43378.28906,46353.73438,47640.66016,45241.5,45924.39453,56924.60156,54750.57422,56610.67188,61207.27734,59752.55469,63149.20703,63275.81641,56027.05469,59674.64453,67820.90625,65106.33984,62676.13281,52407.31641,58609.71875,62750.22266,55583.69922
Q5SVZ6,7,6922.292969,8572.227539,6903.692383,6565.535645,4460.13916,7202.15332,7073.339355,10084.63477,10091.04199,5625.570313,5548.649902,7037.976563,5446.836914,7484.984863,7786.518555,7175.394043,6780.540039,8316.768555,10656.88281,8874.814453,7425.663574,10941.2373,9044.56543,9250.290039,8691.44043,9401.50293,10276.38574,10105.57227,9347.446289,8527.975586,6318.723633,6551.674316
Q5SW79,4,15804.77246,14154.22559,15584.94629,14606.8252,15991.60742,12262.20215,13426.00684,14726.04395,14330.6709,12980.00488,12973.49805,12518.68262,12489.5752,11095.2998,13444.59863,12653.81836,14964.91797,11830.93848,11127.16016,11290.87988,11016.20117,10036.81152,10761.3623,11020.49414,10874.6416,10722.80371,10903.09863,12172.51465,10655.51855,9249.428711,12455.21484,11600.38672
Q5SW96,3,20067.55078,19524.15039,20820.47656,25850.99414,22527.08398,18838.25586,17932.65625,19386.14648,20861.76953,20500.94922,24224.00586,19706.4668,20149.01367,18949.70703,20416.79102,22484.05078,17088.39063,6883.754883,5924.797363,6029.118164,9463.806641,6279.942871,9933.290039,7372.604004,6088.90332,7072.479004,4192.319824,5722.955078,7668.752441,6356.627441,4526.559082,8059.532715
Q5SWX8,19,73582.78906,42649.51563,81563.97656,76103.00781,76990.27344,12448.65527,10100.50781,39753.38672,65031.36719,5883.333496,22324.25586,12833.90723,55707.32031,29646.28516,25142.35547,8428.630859,43835.01563,16036.15527,22693.80273,18157.90625,36062.50391,12551.84766,14168.47363,9904.020508,39864.64453,39937.26563,35286.39453,46577.42578,45379.59766,45786.90234,54069.83203,34270.9375
Q5SXM2,11,27749.89258,26704.9668,17044.61914,36324.06641,28520.37891,31541.73633,17626.7207,22572.49023,20314.77734,16041.49219,20157.39453,26550.83984,26647.09961,10582.63379,15732.66211,8908.494141,14721.69434,12750.29785,6615.104492,6145.655762,3938.166748,7423.617676,8991.564453,4904.901367,3991.813232,6722.078613,3583.500977,6819.877441,6615.203613,3901.435791,6789.961426,3175.203125
Q5SY16,36,49032.40625,50256.5625,50524.66797,54198.01172,53637.19531,57704.83984,59060.45313,58060.17578,52837.375,49468.71484,53366.82422,51127.3125,49623.52344,49824.35547,46010.91016,48590.03516,48220.03516,48737.86328,49420.95313,50341.40625,45580.86719,43118.14844,43723.07813,46934.13281,39796.5,40394.25,46482.90234,48259.09766,41052.9375,37727.44141,41989.07031,35577.17578
Q5T0F9,38,19558.89453,19796.06055,17365.57422,18533.42578,17947.60547,18685.81836,17995.48047,19008.90625,20239.49023,16824.41016,18491.99219,18031.98242,20892.48242,21141.13672,20662.91211,19330.43164,14309.1123,17237.86914,19062.05273,17941.58203,23544.78711,19850.66992,18029.12305,19987.71289,17649.1582,19382.87109,19101.2207,19783.55078,19200.06836,20492.25391,14974.27246,22519.94141
Q5T0N5,61,24246.74219,20115.75977,22892.42969,22929.875,26541.94141,16997.99219,15933,17968.90234,18946.71289,20320.10547,21712.3125,17494.62695,15993.70313,14727.70215,13111.29492,12716.20313,18660.875,3495.321533,5560.79248,5541.87793,7998.921875,6681.677734,5528.675781,6979.024902,9487.290039,7421.19043,7837.600098,7721.958496,10263.26855,8554.569336,8960.535156,12839.52246
