"","DPC_0h_1","DPC_0h_2","DPC_0h_3","DPC_0h_4","DPC_3h_1","DPC_3h_2","DPC_3h_3","DPC_3h_4","DPC_6h_1","DPC_6h_2","DPC_6h_3","DPC_6h_4","DPC_9h_1","DPC_9h_2","DPC_9h_3","DPC_9h_4","DPC_12h_1","DPC_12h_2","DPC_12h_3","DPC_12h_4","DPC_18h_1","DPC_18h_2","DPC_18h_3","DPC_18h_4","DPC_24h_1","DPC_24h_2","DPC_24h_3","DPC_24h_4","DPC_36h_1","DPC_36h_2","DPC_36h_3","DPC_36h_4"
"Cluster 21",0.853305906844777,0.840729686852163,0.870563275865665,0.882238153200303,0.886326692810849,0.868994251131443,0.867957649496579,0.891235299357426,0.942383465953211,0.917394941699449,0.929319391792353,0.962021890957306,0.934704264185691,0.964883024785781,0.92308517570274,0.97512659109618,0.831066136133434,0.866834943318904,0.853687347248162,0.884462896551243,0.961781000262018,0.978869502700499,0.97590592163459,0.973763425685776,1.42266044332618,1.44674750551623,1.44879653888684,1.40851486237765,2.43245190407753,2.51893461485163,2.53108551735539,2.59803571608444
"Cluster 22",1.00346205422163,0.961403738279196,0.978272082867216,1.00141495454918,1.0014257069647,1.01004704966992,1.02750046240889,1.05123761738557,1.24234746040596,1.22560810087077,1.24395111926809,1.22881175267217,1.42651647665605,1.44945796491076,1.43025926832522,1.4160031529566,1.36860483152519,1.51205703951141,1.46563479644797,1.42725394419656,1.37162087481768,1.40250619361126,1.38405038800566,1.35926737735703,1.22754139153769,1.28652672386381,1.25596644369553,1.22276598226771,1.12875281224592,1.12213388482406,1.15860218442008,1.16273245915711
"Cluster 23",1.9290551278667,1.9584290090897,1.99219234562011,1.96378057345224,2.0290968865184,2.04167584829125,2.10336840225703,2.14825786567187,2.30737480431715,2.3533505648782,2.35299413001313,2.41363084342455,2.63037484365781,2.75872824110149,2.79395052470845,2.82587555073809,2.64740153176474,3.19493250021049,3.05741004479992,3.07336696036997,3.23223931034549,3.39332431178403,3.28974301483289,3.22768494266154,3.06389052485932,3.25667357198575,3.22418049541308,3.01648662401835,2.96684327390832,3.08407285849317,3.14697543505722,3.19745672167507
"Cluster 24",2.0302810931331,2.00447799746542,2.06800048738134,2.07252853996181,1.99685069645485,1.98927317731396,2.07166536640212,2.10668699924501,2.16690916923336,2.21406367750517,2.20993181058081,2.27842409958764,2.31934492529307,2.39870868577769,2.40894803552432,2.43926931926117,2.39701312634892,2.666230215039,2.5255186009159,2.60732680691066,2.97804388996031,3.08942443025311,3.0254442077325,2.93643729883965,2.93699710672046,3.2169656336857,3.14866320949921,2.95964263274488,3.46452155138423,3.58086534670935,3.70414243253448,3.62432047605958
"Cluster 25",1.16660551796124,1.1466342127306,1.23813012476789,1.11906318333731,1.06736553118206,1.22218861669198,1.17053211855408,1.2233749619872,1.26757047357513,1.19262115127547,1.19270743057142,0.874195154473268,1.12791277801577,0.964375410707597,0.923439069030377,1.17794702712549,0.646281019354088,0.757226789272287,0.708445329248204,0.698091476255702,0.741346949125263,0.87887007690323,1.16159452506387,0.837525630338319,0.538540665508777,0.561128201087948,0.505827775157389,0.588050069946368,0.944079169825708,0.58446877920707,0.623474690867771,0.540639696271364
"Cluster 26",0.777563006295797,0.831577416936844,0.71694783196817,0.815128926525125,0.889539598387988,0.731516044686418,0.770064856999086,0.663079304294299,1.04244228380325,1.74729985151801,0.92164155066003,0.939194938648011,0.773713807029502,0.597877182286667,0.664338400058904,0.633055705004543,0.997534930537863,0.675555882025075,0.539363265228703,0.595070299840128,0.617711291980432,0.483851908041208,0.521675772170793,0.486623595835862,0.569221525887369,0.609384935731866,0.494654787112477,0.528475508250099,0.499549845665729,0.564135538763405,0.496873335620863,0.56875019237269
"Cluster 27",1.26070623701102,1.2284237723725,1.24732355299815,1.23582417391415,1.27435971623601,1.17025414704705,1.20686159173272,1.19988492376714,1.21186166585506,1.19511056547898,1.21821039644047,1.19479542635871,1.26628603308035,1.24925820117646,1.24220674877973,1.28333612208127,1.55420902364085,1.50000998477372,1.47732518408377,1.46047551681028,1.80356367890087,1.69430682956967,1.70096741854383,1.7670510120889,2.11107467611517,2.0857543237856,2.16818949632045,2.01045756433105,2.16661425758234,2.04112502917778,2.00072646576476,2.21788024293951
"Cluster 28",1.43724085026571,1.44512174515958,1.46738458961172,1.47468121217832,1.39298833815433,1.40825487545998,1.41974498427714,1.45118200875703,1.6548823373152,1.69064777017199,1.70329965615271,1.76595890478326,1.64703621473132,1.68762620970799,1.66677987286947,1.71367819761563,1.28478769594106,1.34316767657482,1.28691235751683,1.33594428501501,1.3351027914319,1.32643637105935,1.34482133833676,1.31672001760582,1.499701210725,1.58278407391847,1.5152371544573,1.45519020226182,2.30295397773399,2.3482278328024,2.31724871313707,2.28039570034737
"Cluster 29",1.20568275637648,1.19343640740435,1.20774814427255,1.26514010339556,1.29118827754379,1.23238166851504,1.24559880420632,1.27559249402668,1.35606695635085,1.35365631746476,1.30033362396817,1.31563922454577,1.24177067021566,1.18921336369931,1.20350257195128,1.20576360841362,1.06477477127866,0.842742425782555,0.823540759999782,0.825205410790658,0.610956597930824,0.602013534659793,0.60101116375749,0.611762172490853,0.559547124846502,0.573074192112072,0.53550528240355,0.53414611112284,0.572363731584103,0.572303901466486,0.545506530090667,0.522860243092512
"Cluster 30",1.47759550840419,1.43588721730004,1.47041406827801,1.51099777497058,1.53623059356592,1.48199548464961,1.50417402962703,1.48458342610393,1.3756882319453,1.35463533297085,1.34019344273221,1.37360960938956,1.33195598820713,1.34703528425024,1.31922369871821,1.28618578328768,1.32841227814528,1.29731688724963,1.28249586051178,1.30488901569394,0.948721599246341,0.922560269012201,0.906545729245604,0.908289242169972,0.768082271762668,0.788390818321112,0.76923478258067,0.769547639331968,0.579762242866777,0.573557917106951,0.569539887761997,0.550478072327316
